"name","value","source"
"r",0.03,"Arrow 2013; Drupp 2018 (manuscript Table framework_params)"
"g",0.02,"Groom & Venmans 2023 (Nature 619:768-773)"
"tau_1",0,"convention (project start)"
"H_perm",100,"IPCC; national forest law (manuscript: H_perm)"
"kappa",0.6,"this study; Daigneault 2025 (manuscript Table)"
"ell_max",0.2,"Murray 2004 (manuscript Table)"
"alpha",1,"structural default (manuscript Table)"
"tCO2_per_tC",3.67,"stoichiometric (44/12)"
"theta_base",0.05,"precautionary; MC-bisection floor ~0 (manuscript Table)"
"H0",30,"convention; sqrt(H/H0) scaling (manuscript Table)"
"partial_severity_a",2,"Beta partial-severity shape1 (manuscript Eq expected_severity)"
"partial_severity_b",3.7,"Beta partial-severity shape2 (manuscript Eq expected_severity)"
"rho_ar1",0.3,"Senf & Seidl 2021 AR(1) (manuscript Table)"
"sigma_AR1",0.34,"EFDA pool 1986-2023 sigma/mu (manuscript buffer-solvency text)"
"BASELINE_BUFFER_RATE",0.2,"current scheme buffers 15-20% (manuscript: fixed-rate benchmark)"
"uk_oceanic_uplift_factor",0.8,"Temperate_UK uplift = Temperate x 0.8 oceanic buffer (manuscript; wind-dominated, less climate-sensitive)"
