"practice","SL","PW","WF","source"
"Set-aside",0.6,0.3,0.1,"manuscript Table S1 (practice product-class split)"
"Extended rotation",0.7,0.2,0.1,"manuscript Table S1 (practice product-class split)"
"Reduced harvest intensity",0.2,0.6,0.2,"manuscript Table S1 (practice product-class split)"
"Coppice conversion",0.6,0.3,0.1,"manuscript Table S1 (practice product-class split)"
"Reforestation",0.5,0.3,0.2,"manuscript Table S1 (practice product-class split)"
"Continuous stock management",0.55,0.35,0.1,"manuscript Table S1 (practice product-class split)"
"Forested peatland rewetting",0.2,0.7,0.1,"manuscript Table S1 (practice product-class split)"
"Structural diversification",0.4,0.4,0.2,"manuscript Table S1 (practice product-class split)"
"Species diversification",0.5,0.3,0.2,"manuscript Table S1 (practice product-class split)"
"Fuel management",0,0,0,"manuscript Table S1 (practice product-class split)"
"Peatland rewetting",0,0,0,"manuscript Table S1 (practice product-class split)"
"Protected afforestation",0.5,0.3,0.2,"manuscript Table S1 (practice product-class split)"
"Productive afforestation",0.5,0.3,0.2,"manuscript Table S1 (practice product-class split)"
"Agroforestry",0.3,0.3,0.4,"manuscript Table S1 (practice product-class split)"
"Site fertilisation",0.6,0.3,0.1,"manuscript Table S1 (practice product-class split)"
"Short-rotation plantation",0,0.9,0.1,"manuscript Table S1 (practice product-class split)"
