"scheme_id","practice","practice_weight","ft_broadleaf","ft_conifer","source"
"LBC","Productive afforestation",0.44,0.3,0.7,"Credit shares: I4CE / Observatoire de la foret & resoilag bilan LBC 2023 (Boisement 44%, Reconstitution 56%); BL/CF: WWF 2021 + IGN inventory"
"LBC","Reforestation",0.56,0.3,0.7,"Credit shares: I4CE / Observatoire de la foret & resoilag bilan LBC 2023 (Boisement 44%, Reconstitution 56%); BL/CF: WWF 2021 + IGN inventory"
"LBC","Coppice conversion",0,1,0,"Credit shares: I4CE / Observatoire de la foret & resoilag bilan LBC 2023 (Boisement 44%, Reconstitution 56%); BL/CF: WWF 2021 + IGN inventory"
"LBC","Continuous stock management",0,0.67,0.33,"Credit shares: I4CE / Observatoire de la foret & resoilag bilan LBC 2023 (Boisement 44%, Reconstitution 56%); BL/CF: WWF 2021 + IGN inventory"
"WCC","Protected afforestation",0.47,0.9,0.1,"Carbon-share weighted: Forest Research Forestry Statistics 2025 (Scotland=83% of WCC carbon) + Scottish Govt EIR FOI/202400398009; England FC woodland-creation stats"
"WCC","Productive afforestation",0.53,0.15,0.85,"Carbon-share weighted: Forest Research Forestry Statistics 2025 (Scotland=83% of WCC carbon) + Scottish Govt EIR FOI/202400398009; England FC woodland-creation stats"
"PLC","Peatland rewetting",NA,NA,NA,"Single covered practice (peatland rewetting); no cross-practice/forest-type weighting"
"WKS","Protected afforestation",NA,0.3,0.7,"German post-bark-beetle/storm reconstruction, CF-dominated (Waldumbau ~70% CF)"
"WKS","Species diversification",NA,NA,NA,"German post-bark-beetle/storm reconstruction, CF-dominated (Waldumbau ~70% CF)"
"WKS","Structural diversification",NA,0.3,0.7,"German post-bark-beetle/storm reconstruction, CF-dominated (Waldumbau ~70% CF)"
"KSF","Protected afforestation",NA,0.55,0.45,"Danish national forest ~50/50; KSF climate-adaptation skew toward broadleaf"
"KSF","Peatland rewetting",NA,NA,NA,"Danish national forest ~50/50; KSF climate-adaptation skew toward broadleaf"
"CA_USFP","Protected afforestation",NA,0.15,0.85,"US PNW/SE IFM conifer-dominated (~85% CF); CARB protocol coverage"
"CA_USFP","Extended rotation",NA,0.15,0.85,"US PNW/SE IFM conifer-dominated (~85% CF); CARB protocol coverage"
"CA_USFP","Reduced harvest intensity",NA,0.15,0.85,"US PNW/SE IFM conifer-dominated (~85% CF); CARB protocol coverage"
"CA_USFP","Set-aside",NA,0.15,0.85,"US PNW/SE IFM conifer-dominated (~85% CF); CARB protocol coverage"
