scheme_id,scheme_name,country,dimension,parameter,value,value_min,value_max,unit,source,source_type,notes
LBC,Label Bas-Carbone,FR,buffer,buffer_rate,0.15,0.10,0.39,share,"label-bas-carbone.ecologie.gouv.fr; I4CE (2025)",documentation,"10% general risk + 0-15% fire + 5-10% windfall; avg 22% across all discounts (I4CE 2025, web scraped)"
LBC,Label Bas-Carbone,FR,leakage,leakage_rate,0.05,,,share,"label-bas-carbone.ecologie.gouv.fr, GFSC method Section 9.1",documentation,"Model uses 0.05 scheme-wide (matches 03_parameters.R). GFSC method documents 10% market leakage but GFSC share is negligible (~4 projects); methods 1-3 (Boisement/Reconstitution/Balivage) use windfall discount not market leakage; 0.05 is the conservative effective scheme-wide rate."
LBC,Label Bas-Carbone,FR,temporality,liability_years,30,20,30,years,label-bas-carbone.ecologie.gouv.fr,documentation,"30 yr (Boisement, Reconstitution, Balivage); 20 yr (GFSC). Method-fixed, not project-chosen."
LBC,Label Bas-Carbone,FR,temporality,liability_distribution_30yr,,,,share,,derived,"Methods 1-3 (Boisement, Reconstitution, Balivage): all 30 yr. Dominant by project count (~1196/1200 projects; 3.0 MtCO2)."
LBC,Label Bas-Carbone,FR,temporality,liability_distribution_20yr,,,,share,,derived,"Method 4 (GFSC): all 20 yr. Small share (~4 projects or fewer; volume unknown). Near-degenerate distribution: ~100% at 30 yr."
LBC,Label Bas-Carbone,FR,cross-cutting,total_credits,3300000,,,tCO2eq,"I4CE (2025)",web scraped,"3.3 MtCO2 potential (forest methods only, as of Mar 2025)"
LBC,Label Bas-Carbone,FR,cross-cutting,n_projects,1200,,,count,"I4CE (2025)",web scraped,~1200 forest projects as of Mar 2025
LBC,Label Bas-Carbone,FR,cross-cutting,practice_share_afforestation,,,,share,,missing,"Afforestation: 3800 ha / 1.26 MtCO2 (web scraped); share of total credits unknown"
LBC,Label Bas-Carbone,FR,cross-cutting,practice_share_reforestation,,,,share,,missing,"Reforestation: 8300 ha / 1.73 MtCO2 (fire+dieback combined, web scraped)"
LBC,Label Bas-Carbone,FR,cross-cutting,practice_share_coppice,,,,share,,missing,"Balivage: 4 projects / 2323 tCO2 (web scraped); negligible share"
LBC,Label Bas-Carbone,FR,cross-cutting,practice_share_ccf,,,,share,,missing,GFSC: no project count or credit volume found
WCC,Woodland Carbon Code,UK,buffer,buffer_rate,0.20,,,share,"WCC v3.0 (Aug 2025)",documentation,"Flat 20% to shared buffer pool; no risk differentiation"
WCC,Woodland Carbon Code,UK,buffer,buffer_pool_units,2573000,,,tCO2eq,"WCC Statistics / UK Land Carbon Registry (30 Sep 2025)",web scraped,"Buffer entitlement in Pending Issuance Units (PIUs) = 20% of issued lifetime sequestration. NB: buffer held in VERIFIED units (WCUs) is only 2300 tCO2eq (scheme young, little verified yet) — the 2300 previously stored here was the WCU buffer, not the pool entitlement"
WCC,Woodland Carbon Code,UK,leakage,leakage_rate,0.00,,,share,WCC v3.0,documentation,"Activity-shifting disclosure only; no market leakage deduction"
WCC,Woodland Carbon Code,UK,temporality,liability_years,100,40,100,years,WCC v3.0,documentation,"40-100 yr project duration"
WCC,Woodland Carbon Code,UK,cross-cutting,total_credits,14800000,,,tCO2eq,"WCC Statistics (Sep 2025)",web scraped,"14.8 Mt planned CO2 removal (validated projects)"
WCC,Woodland Carbon Code,UK,cross-cutting,n_projects,845,,,count,"WCC Statistics (Sep 2025)",web scraped,845 validated projects
WCC,Woodland Carbon Code,UK,cross-cutting,total_hectares,42799,,,ha,"WCC Statistics (Sep 2025)",web scraped,
WCC,Woodland Carbon Code,UK,temporality,liability_distribution,,,,share,,missing,"Project-chosen between 40-100 yr. Genuine variation exists. Would need UK Land Carbon Registry scrape to resolve. Only scheme (with PLC) where uniform draw is a real assumption."
PLC,Peatland Code,UK,buffer,buffer_rate,0.20,,,share,"Peatland Code v2.1 (Feb 2025)",documentation,"20% buffer contribution; aligned with ICVCM"
PLC,Peatland Code,UK,leakage,leakage_rate,0.00,,,share,Peatland Code v2.1,documentation,"No market leakage (no timber products displaced)"
PLC,Peatland Code,UK,temporality,liability_years,100,30,100,years,Peatland Code v2.1,documentation,"30-100 yr project duration"
PLC,Peatland Code,UK,cross-cutting,total_credits,,,,tCO2eq,,missing,"187291 tCO2 transacted in 2024 (web scraped) but total issued unknown"
PLC,Peatland Code,UK,cross-cutting,n_projects,200,,,count,"IUCN UK Peatland Programme (18 Sep 2023)",web scraped,"200 registered by Sep 2023 (was mislabelled 79/2025 = actually a Feb-2022 snapshot); Scotland alone 283 by Jan 2025 — no current UK-wide total published"
PLC,Peatland Code,UK,cross-cutting,total_hectares,27071,,,ha,"IUCN UK Peatland Programme (18 Sep 2023)",web scraped,"Expected restoration area (was 10300 = stale Feb-2022 figure)"
PLC,Peatland Code,UK,temporality,liability_distribution,,,,share,,missing,"Project-chosen between 30-100 yr. Genuine variation exists. Would need UK Land Carbon Registry scrape to resolve."
WKS,Wald-Klima-Standard,DE,buffer,buffer_rate,0.20,,,share,"eva foundation",documentation,"~15% buffer + fee; effective ~20%"
WKS,Wald-Klima-Standard,DE,leakage,leakage_rate,0.05,,,share,"eva foundation",documentation,"5% leakage deduction"
WKS,Wald-Klima-Standard,DE,temporality,liability_years,30,20,30,years,"eva foundation",documentation,"20 yr (M01) to 30 yr (M02/M03). Method-fixed, not project-chosen."
WKS,Wald-Klima-Standard,DE,temporality,liability_distribution,,,,share,,missing,"M01 (restoration)=20 yr; M02/M03 (conversion)=30 yr. Would need practice shares to resolve; both missing."
WKS,Wald-Klima-Standard,DE,cross-cutting,total_credits,,,,tCO2eq,,missing,"~110 certificates/ha average (web scraped); total unknown"
WKS,Wald-Klima-Standard,DE,cross-cutting,n_projects,,,,count,,missing,
WKS,Wald-Klima-Standard,DE,cross-cutting,practice_share_restoration,,,,share,,missing,"Wiederaufbau (forest restoration) share unknown"
WKS,Wald-Klima-Standard,DE,cross-cutting,practice_share_conversion,,,,share,,missing,"Waldumbau (forest conversion) share unknown"
KSF,Klimaskovfonden,DK,buffer,buffer_rate,0.15,,,share,Klimaskovfonden standard,documentation,"15% flat contribution"
KSF,Klimaskovfonden,DK,leakage,leakage_rate,0.00,,,share,Klimaskovfonden standard,documentation,"National boundary assumption"
KSF,Klimaskovfonden,DK,temporality,liability_years,100,80,100,years,Klimaskovfonden standard,documentation,"Fredskovspligt (forest reserve status) = permanent. Beta(5,1) on [80,100] skewed toward 100."
KSF,Klimaskovfonden,DK,cross-cutting,total_credits,1017811,,,tCO2,"klimaskovfonden.dk (Mar 2026)",web scraped,"Expected CO2 absorbed over time"
