"practice","biome","species","is_anchor","rate","area_ha","duration_yr","S_bar","harvest_displacement","product_class","tau_2","R_mult","lambda_mult","c_mult","legally_protected","T_rot_silv","T_thin_silv","f_thin_silv","forest_type","source"
"Extended rotation","Boreal","Mixed conifers",FALSE,2.95,100,30,180,0.9,"SL",30,1.2,1.1,1,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Extended rotation","Temperate","Mixed conifers",TRUE,6.72,100,30,300,0.9,"SL",30,1.2,1.1,1,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Extended rotation","Mediterranean","Maritime pine",FALSE,10.49,100,30,80,0.9,"SL",30,1.2,1.1,1,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Reduced harvest intensity","Mediterranean","Maritime pine",FALSE,1.93,100,30,80,0.9,"PW",30,1.15,1.05,1,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Forested peatland rewetting","Boreal","Drained peatland forest",TRUE,1.59,135,30,120,0.15,"PW",30,0.9,0.95,0.9,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Peatland rewetting","Boreal","Paludiculture",TRUE,1.59,135,50,50,0,NA,50,0.7,0.85,0.8,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Protected afforestation","Temperate","Native broadleaves",TRUE,10.47,47,100,200,0,NA,100,0.9,0.9,0.9,TRUE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Productive afforestation","Boreal","Scots pine",FALSE,3.5,47,40,85,-0.1,"SL",40,0.9,0.9,0.9,TRUE,80,30,0.24,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Productive afforestation","Temperate","Sitka spruce",TRUE,11.35,47,40,180,-0.1,"SL",40,0.9,0.9,0.9,TRUE,40,18,0.24,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Productive afforestation","Mediterranean","Maritime pine",FALSE,19.56,47,40,55,-0.1,"SL",40,0.9,0.9,0.9,TRUE,45,15,0.2,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Site fertilisation","Boreal","Scots pine",TRUE,5.45,100,10,85,-0.05,"SL",10,1.1,1,1,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Site fertilisation","Temperate","Mixed broadleaves",FALSE,2.01,100,10,160,-0.05,"SL",10,1.1,1,1,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Agroforestry","Mediterranean","Cork oak",TRUE,7.35,15,30,40,-0.05,"WF",30,0.75,0.8,0.85,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Reduced harvest intensity","Boreal","Mixed conifers",FALSE,1.5,100,30,180,0.9,"PW",30,1.15,1.05,1,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Reduced harvest intensity","Temperate","Mixed conifers",TRUE,1.5,100,30,220,0.9,"PW",30,1.15,1.05,1,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Set-aside","Boreal","Norway spruce",FALSE,2.9,100,30,180,0.9,"SL",30,1,1,1.1,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Set-aside","Temperate","Old growth",TRUE,4.5,100,30,280,0.9,"SL",30,1,1,1.1,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Set-aside","Mediterranean","Cork oak",FALSE,2,100,30,80,0.9,"SL",30,1,1,1.1,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Coppice conversion","Temperate","Chestnut/oak",TRUE,8,11,30,140,0.4,"SL",30,1.05,1,1,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Coppice conversion","Mediterranean","Holm oak",FALSE,8,11,30,70,0.4,"SL",30,1.05,1,1,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Continuous stock management","Boreal","Mixed conifers",FALSE,0.3,11,30,120,0.9,"SL",30,0.95,0.95,0.95,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
